flor,res,lab,treat,rep,well,tr_rep,ind_rep
196.2,susc,vitro,mix,1,A1,R6,1
180.3,susc,vitro,mix,1,A2,R6,2
141.1,susc,vitro,mix,1,A3,R6,3
271.6,susc,vitro,mix,1,A4,R3,4
168.2,susc,vitro,mix,1,A5,R3,5
180,susc,vitro,mix,1,A6,R3,6
221.7,susc,vitro,mix,1,A7,R5,7
760.3,susc,vitro,mix,1,A8,R5,8
163.7,susc,vitro,mix_add,1,A9,R6,9
244.2,susc,vitro,mix_add,1,A10,R6,10
361.4,susc,vitro,mix_add,1,A11,R6,11
188,susc,vitro,mix_add,1,A12,R1,12
281.8,res,vitro,mix,1,B1,R2,1
321.4,res,vitro,mix,1,B2,R4,2
319.7,res,vitro,mix,1,B3,R6,3
251.6,res,vitro,mix,1,B4,R1,4
593.5,res,vitro,mix,1,B5,R5,5
217.9,res,vitro,mix,1,B6,R3,6
388.1,res,vitro,mix_add,1,B7,R1,7
548,res,vitro,mix_add,1,B8,R2,8
524.7,res,vitro,mix_add,1,B9,R3,9
733.1,res,vitro,mix_add,1,B10,R4,10
244.9,res,vitro,mix_add,1,B11,R5,11
213.4,res,vitro,mix_add,1,B12,R6,12
270.5,control,vitro,control,1,C1,R4,1
214.7,control,vitro,control,1,C2,R5,2
226.5,control,vitro,control,1,C3,R6,3
581.7,control,vitro,control,1,C4,R1,4
182.3,control,vitro,control,1,C5,R2,5
191.7,control,vitro,control,1,C6,R3,6
406.1,sing_res,vitro,mix,1,C7,R6,1
237.9,sing_res,vitro,mix,1,C8,R3,2
243.8,sing_res,vitro,mix,1,C9,R3,3
241.5,sing_res,vitro,mix,1,C10,R5,4
170.3,sing_res,vitro,mix_add,1,C11,R4,5
792,sing_res,vitro,mix_add,1,C12,R5,6
840.4,sing_res,vitro,mix_add,1,D1,R5,7
77.29,media,media,media,1,D2,NA,1
73.06,media,media,media,1,D3,NA,2
80.23,media,media,media,1,D4,NA,3
75.65,media,media,media,1,D5,NA,4
77.32,media,media,media,1,D6,NA,5
77.8,media,media,media,1,D7,NA,6
77.3,media,media,media,1,D8,NA,7
69.19,media,media,media,1,D9,NA,8
78.86,media,media,media,1,D10,NA,9
78.38,media,media,media,1,D11,NA,10
76.93,media,media,media,1,D12,NA,11
207,susc,vivo,T1,1,E1,NA,1
193.9,res,vivo,T1,1,E2,NA,2
187.9,res,vivo,T1,1,E3,NA,3
161.6,res,vivo,T1,1,E4,NA,4
111.3,susc,vivo,T1,1,E5,NA,5
108.7,res,vivo,T1,1,E6,NA,6
156.6,res,vivo,T1,1,E7,NA,7
199.5,res,vivo,T1,1,E8,NA,8
287,susc,vivo,T2,1,F1,NA,1
173.2,res,vivo,T2,1,F2,NA,2
69.58,media,media,media,1,E9,NA,12
79.53,media,media,media,1,E10,NA,13
78.18,media,media,media,1,E11,NA,14
71.95,media,media,media,1,E12,NA,15
72.52,media,media,media,1,F3,NA,16
76.5,media,media,media,1,F4,NA,17
74.63,media,media,media,1,F5,NA,18
78.07,media,media,media,1,F6,NA,19
76.15,media,media,media,1,F7,NA,20
83.45,media,media,media,1,F8,NA,21
78.98,media,media,media,1,F9,NA,22
80.17,media,media,media,1,F10,NA,23
79.25,media,media,media,1,F11,NA,24
76.62,media,media,media,1,F12,NA,25
472.5,anc,vivo,anc,1,G1,NA,1
397.4,anc,vivo,anc,1,G2,NA,2
215.7,anc,vivo,anc,1,G3,NA,3
442.6,anc,vivo,anc,1,G4,NA,4
253.4,anc,vivo,anc,1,G5,NA,5
628.2,anc,vivo,anc,1,G6,NA,6
334,anc,vivo,anc,1,G7,NA,7
290.6,anc,vivo,anc,1,G8,NA,8
475.9,anc,vivo,anc,1,G9,NA,9
452.7,anc,vivo,anc,1,G10,NA,10
519.4,anc,vivo,anc,1,G11,NA,11
490.3,anc,vivo,anc,1,G12,NA,12
203.1,anc,vivo,anc,1,H1,NA,13
223.4,anc,vivo,anc,1,H2,NA,14
194.1,anc,vivo,anc,1,H3,NA,15
189.5,anc,vivo,anc,1,H4,NA,16
162.6,anc,vivo,anc,1,H5,NA,17
196.8,anc,vivo,anc,1,H6,NA,18
211.2,anc,vivo,anc,1,H7,NA,19
224.1,anc,vivo,anc,1,H8,NA,20
195.2,anc,vivo,anc,1,H9,NA,21
229.8,anc,vivo,anc,1,H10,NA,22
231.5,anc,vivo,anc,1,H11,NA,23
176.1,anc,vivo,anc,1,H12,NA,24
157.7,susc,vitro,mix,2,A1,R6,1
158.2,susc,vitro,mix,2,A2,R6,2
126.7,susc,vitro,mix,2,A3,R6,3
248.4,susc,vitro,mix,2,A4,R3,4
193.7,susc,vitro,mix,2,A5,R3,5
172.4,susc,vitro,mix,2,A6,R3,6
234.6,susc,vitro,mix,2,A7,R5,7
515.2,susc,vitro,mix,2,A8,R5,8
150.2,susc,vitro,mix_add,2,A9,R6,9
209.4,susc,vitro,mix_add,2,A10,R6,10
218.8,susc,vitro,mix_add,2,A11,R6,11
171.3,susc,vitro,mix_add,2,A12,R1,12
294.9,res,vitro,mix,2,B1,R2,1
301.1,res,vitro,mix,2,B2,R4,2
322.2,res,vitro,mix,2,B3,R6,3
277.5,res,vitro,mix,2,B4,R1,4
376.5,res,vitro,mix,2,B5,R5,5
659.1,res,vitro,mix,2,B6,R3,6
468.5,res,vitro,mix_add,2,B7,R1,7
543.2,res,vitro,mix_add,2,B8,R2,8
214.1,res,vitro,mix_add,2,B9,R3,9
504.3,res,vitro,mix_add,2,B10,R4,10
382.1,res,vitro,mix_add,2,B11,R5,11
364.2,res,vitro,mix_add,2,B12,R6,12
276.1,control,vitro,control,2,C1,R4,1
217.2,control,vitro,control,2,C2,R5,2
211.3,control,vitro,control,2,C3,R6,3
644.9,control,vitro,control,2,C4,R1,4
194,control,vitro,control,2,C5,R2,5
177.9,control,vitro,control,2,C6,R3,6
479,sing_res,vitro,mix,2,C7,R6,1
232.8,sing_res,vitro,mix,2,C8,R3,2
185.4,sing_res,vitro,mix,2,C9,R3,3
236.5,sing_res,vitro,mix,2,C10,R5,4
163.5,sing_res,vitro,mix_add,2,C11,R4,5
374.3,sing_res,vitro,mix_add,2,C12,R5,6
730.1,sing_res,vitro,mix_add,2,D1,R5,7
81.17,media,media,media,2,D2,NA,1
81.05,media,media,media,2,D3,NA,2
77.29,media,media,media,2,D4,NA,3
78.31,media,media,media,2,D5,NA,4
81.64,media,media,media,2,D6,NA,5
80.18,media,media,media,2,D7,NA,6
76.74,media,media,media,2,D8,NA,7
76.94,media,media,media,2,D9,NA,8
77.1,media,media,media,2,D10,NA,9
77.73,media,media,media,2,D11,NA,10
76.44,media,media,media,2,D12,NA,11
199.4,susc,vivo,T1,2,E1,NA,1
237.2,res,vivo,T1,2,E2,NA,2
229.5,res,vivo,T1,2,E3,NA,3
168.6,res,vivo,T1,2,E4,NA,4
173.6,susc,vivo,T1,2,E5,NA,5
296.3,res,vivo,T1,2,E6,NA,6
168.9,res,vivo,T1,2,E7,NA,7
225,res,vivo,T1,2,E8,NA,8
307.8,susc,vivo,T2,2,F1,NA,1
