"treat","Well","m.fit","sd.fit","tr2","res","rep"
"control"," C01",0.3408572631,0.042902772029221,"control","control"," C01"
"control"," C02",0.508642963333333,0.0388738850477417,"control","control"," C02"
"control"," C03",0.3973927115,0.0101792490155565,"control","control"," C03"
"control"," C04",0.419406006733333,0.137405354146478,"control","control"," C04"
"control"," C05",0.439347876466667,0.0174878288402413,"control","control"," C05"
"control"," C06",0.4421490848,0.144699590750226,"control","control"," C06"
"mix_add_resist"," B07",0.3033083342,0.0123316502424024,"mix_add","resist","MA1"
"mix_add_resist"," B08",0.3072996,0.0358450859562367,"mix_add","resist","MA2"
"mix_add_resist"," B09",0.295736915866667,0.0157529630034257,"mix_add","resist","MA3"
"mix_add_resist"," B10",0.2550559689,0.0157565917616703,"mix_add","resist","MA4"
"mix_add_resist"," B11",0.279939854,0.0371284935551061,"mix_add","resist","MA5"
"mix_add_resist"," B12",0.246741591333333,0.0254305222568626,"mix_add","resist","MA6"
"mix_resist"," B01",0.382165399733333,0.0628923826023803,"mix","resist","M2"
"mix_resist"," B02",0.2645316625,0.0142050980210685,"mix","resist","M4"
"mix_resist"," B03",0.2648426922,0.0135900256398515,"mix","resist","M6"
"mix_resist"," B04",0.284557649766667,0.0335289509770788,"mix","resist","M1"
"mix_resist"," B05",0.211307207,0.00889836831608152,"mix","resist","M5"
"mix_resist"," B06",0.386722662866667,0.0267105295000382,"mix","resist","M3"
"mix_susc"," A01",0.2959654295,0.025766473733028,"mix","susc","M6"
"mix_susc"," A02",0.2149455713,0.0168178890601925,"mix","susc","M6"
"mix_susc"," A03",0.223411828566667,0.0217032397820376,"mix","susc","M6"
"mix_susc"," A04",0.265381192566667,0.0333966775863973,"mix","susc","M3"
"mix_susc"," A05",0.268569680933333,0.0278472650491025,"mix","susc","M3"
"mix_susc"," A06",0.256798386333333,0.0204811881934014,"mix","susc","M3"
"mix_susc"," A07",0.462495321866667,0.0144752377350784,"mix","susc","M5"
"mix_susc"," A08",0.255263246233333,0.00847629765241765,"mix","susc","M5"
"mixadd_susc"," A09",0.251980132066667,0.0262578244979959,"mix_add","susc","MA6"
"mixadd_susc"," A10",0.247246522733333,0.0132189257149827,"mix_add","susc","MA6"
"mixadd_susc"," A11",0.2442529045,0.01487449981541,"mix_add","susc","MA6"
"mixadd_susc"," A12",0.2797865423,0.0128731211539821,"mix_add","susc","MA1"
"sing_res"," C07",0.2801954741,0.0307736493785945,"mix","resist_sing","M6"
"sing_res"," C08",0.283864248,0.0368165684336177,"mix","resist_sing","M3"
"sing_res"," C09",0.297167907533333,0.0357166675684224,"mix","resist_sing","M3"
"sing_res"," C10",0.493802254833333,0.0866572369985849,"mix","resist_sing","M5"
"sing_res"," C11",0.2658740918,0.0383935769243386,"mix_add","resist_sing","MA4"
"sing_res"," C12",0.302724209,0.0334820297494046,"mix_add","resist_sing","MA5"
"sing_res"," D01",0.298228924166667,0.0215220471433135,"mix_add","resist_sing","MA5"
