treat,rep,bact_clone,bact_time,phage_time,infect
mix,1,1,1,1,1
mix,1,2,1,1,1
mix,1,3,1,1,1
mix,1,4,1,1,1
mix,1,5,1,1,1
mix,1,6,1,1,1
mix,1,7,1,1,1
mix,1,8,1,1,1
mix,1,9,1,1,1
mix,1,10,1,1,1
mix,1,11,1,1,1
mix,1,12,1,1,1
mix,1,13,1,1,1
mix,1,14,1,1,0
mix,1,15,1,1,1
mix,1,16,1,1,1
mix,1,1,1,2,1
mix,1,2,1,2,1
mix,1,3,1,2,1
mix,1,4,1,2,1
mix,1,5,1,2,1
mix,1,6,1,2,1
mix,1,7,1,2,1
mix,1,8,1,2,1
mix,1,9,1,2,1
mix,1,10,1,2,1
mix,1,11,1,2,1
mix,1,12,1,2,1
mix,1,13,1,2,1
mix,1,14,1,2,0
mix,1,15,1,2,1
mix,1,16,1,2,1
mix,1,1,1,3,1
mix,1,2,1,3,1
mix,1,3,1,3,1
mix,1,4,1,3,1
mix,1,5,1,3,1
mix,1,6,1,3,1
mix,1,7,1,3,1
mix,1,8,1,3,1
mix,1,9,1,3,1
mix,1,10,1,3,1
mix,1,11,1,3,1
mix,1,12,1,3,1
mix,1,13,1,3,1
mix,1,14,1,3,0
mix,1,15,1,3,1
mix,1,16,1,3,1
mix,2,1,1,1,0
mix,2,2,1,1,0
mix,2,3,1,1,0
mix,2,4,1,1,1
mix,2,5,1,1,0
mix,2,6,1,1,1
mix,2,7,1,1,1
mix,2,8,1,1,1
mix,2,9,1,1,1
mix,2,10,1,1,1
mix,2,11,1,1,1
mix,2,12,1,1,1
mix,2,13,1,1,0
mix,2,14,1,1,1
mix,2,15,1,1,1
mix,2,16,1,1,1
mix,2,1,1,2,0
mix,2,2,1,2,0
mix,2,3,1,2,0
mix,2,4,1,2,1
mix,2,5,1,2,0
mix,2,6,1,2,1
mix,2,7,1,2,1
mix,2,8,1,2,1
mix,2,9,1,2,1
mix,2,10,1,2,1
mix,2,11,1,2,1
mix,2,12,1,2,1
mix,2,13,1,2,0
mix,2,14,1,2,1
mix,2,15,1,2,1
mix,2,16,1,2,1
mix,2,1,1,3,0
mix,2,2,1,3,0
mix,2,3,1,3,0
mix,2,4,1,3,1
mix,2,5,1,3,0
mix,2,6,1,3,1
mix,2,7,1,3,1
mix,2,8,1,3,1
mix,2,9,1,3,1
mix,2,10,1,3,1
mix,2,11,1,3,1
mix,2,12,1,3,1
mix,2,13,1,3,0
mix,2,14,1,3,1
mix,2,15,1,3,1
mix,2,16,1,3,1
mix,3,1,1,1,0
mix,3,2,1,1,0
mix,3,3,1,1,0
mix,3,4,1,1,0
mix,3,5,1,1,0
mix,3,6,1,1,0
mix,3,7,1,1,1
mix,3,8,1,1,0
mix,3,9,1,1,0
mix,3,10,1,1,0
mix,3,11,1,1,0
mix,3,12,1,1,0
mix,3,13,1,1,0
mix,3,14,1,1,1
mix,3,15,1,1,0
mix,3,16,1,1,1
mix,3,1,1,2,0
mix,3,2,1,2,0
mix,3,3,1,2,0
mix,3,4,1,2,0
mix,3,5,1,2,0
mix,3,6,1,2,0
mix,3,7,1,2,1
mix,3,8,1,2,0
mix,3,9,1,2,0
mix,3,10,1,2,0
mix,3,11,1,2,0
mix,3,12,1,2,0
mix,3,13,1,2,0
mix,3,14,1,2,0
mix,3,15,1,2,0
mix,3,16,1,2,1
mix,3,1,1,3,0
mix,3,2,1,3,0
mix,3,3,1,3,0
mix,3,4,1,3,0
mix,3,5,1,3,0
mix,3,6,1,3,0
mix,3,7,1,3,1
mix,3,8,1,3,0
mix,3,9,1,3,0
mix,3,10,1,3,0
mix,3,11,1,3,0
mix,3,12,1,3,0
mix,3,13,1,3,0
mix,3,14,1,3,1
mix,3,15,1,3,0
mix,3,16,1,3,1
mix,4,1,1,1,0
mix,4,2,1,1,0
mix,4,3,1,1,0
mix,4,4,1,1,0
mix,4,5,1,1,0
mix,4,6,1,1,0
mix,4,7,1,1,1
mix,4,8,1,1,0
mix,4,9,1,1,0
mix,4,10,1,1,0
mix,4,11,1,1,0
mix,4,12,1,1,0
mix,4,13,1,1,0
mix,4,14,1,1,1
mix,4,15,1,1,0
mix,4,16,1,1,0
mix,4,1,1,2,0
mix,4,2,1,2,0
mix,4,3,1,2,0
mix,4,4,1,2,0
mix,4,5,1,2,0
mix,4,6,1,2,0
mix,4,7,1,2,1
mix,4,8,1,2,0
mix,4,9,1,2,0
mix,4,10,1,2,0
mix,4,11,1,2,0
mix,4,12,1,2,0
mix,4,13,1,2,0
mix,4,14,1,2,1
mix,4,15,1,2,0
mix,4,16,1,2,0
mix,4,1,1,3,0
mix,4,2,1,3,0
mix,4,3,1,3,0
mix,4,4,1,3,0
mix,4,5,1,3,0
mix,4,6,1,3,0
mix,4,7,1,3,1
mix,4,8,1,3,0
mix,4,9,1,3,0
mix,4,10,1,3,0
mix,4,11,1,3,0
mix,4,12,1,3,0
mix,4,13,1,3,0
mix,4,14,1,3,1
mix,4,15,1,3,0
mix,4,16,1,3,0
mix,5,1,1,1,0
mix,5,2,1,1,1
mix,5,3,1,1,1
mix,5,4,1,1,1
mix,5,5,1,1,1
mix,5,6,1,1,1
mix,5,7,1,1,0
mix,5,8,1,1,0
mix,5,9,1,1,1
mix,5,10,1,1,1
mix,5,11,1,1,0
mix,5,12,1,1,0
mix,5,13,1,1,0
mix,5,14,1,1,0
mix,5,15,1,1,0
mix,5,16,1,1,0
mix,5,1,1,2,0
mix,5,2,1,2,1
mix,5,3,1,2,1
mix,5,4,1,2,1
mix,5,5,1,2,1
mix,5,6,1,2,1
mix,5,7,1,2,0
mix,5,8,1,2,0
mix,5,9,1,2,1
mix,5,10,1,2,1
mix,5,11,1,2,0
mix,5,12,1,2,0
mix,5,13,1,2,0
mix,5,14,1,2,0
mix,5,15,1,2,0
mix,5,16,1,2,0
mix,5,1,1,3,0
mix,5,2,1,3,1
mix,5,3,1,3,1
mix,5,4,1,3,0
mix,5,5,1,3,1
mix,5,6,1,3,1
mix,5,7,1,3,0
mix,5,8,1,3,0
mix,5,9,1,3,1
mix,5,10,1,3,1
mix,5,11,1,3,0
mix,5,12,1,3,0
mix,5,13,1,3,0
mix,5,14,1,3,0
mix,5,15,1,3,0
mix,5,16,1,3,0
mix,6,1,1,1,0
mix,6,2,1,1,1
mix,6,3,1,1,0
mix,6,4,1,1,0
mix,6,5,1,1,1
