bact_time,bact_clone,phage_time,infect,phage_type
T1,C8,PVM,0,anc
T1,C8,14_1,1,anc
T1,C6,PVM,1,anc
T1,C6,14_1,0,anc
T2,C2,PVM,0,anc
T2,C2,14_1,0,anc
T1,C5,PVM,0,anc
T1,C5,14_1,0,anc
T1,C7,PVM,1,anc
T1,C7,14_1,1,anc
T1,C4,PVM,0,anc
T1,C4,14_1,0,anc
T1,C2,PVM,0,anc
T1,C2,14_1,0,anc
T2,C1,PVM,1,anc
T2,C1,14_1,1,anc
T1,C1,PVM,0,anc
T1,C1,14_1,0,anc
T1,C3,PVM,1,anc
T1,C3,14_1,1,anc
T1,C3,T1,0,vivo
T1,C3,T2,1,vivo
T1,C3,T3,1,vivo
T1,C4,T1,0,vivo
T1,C4,T2,0,vivo
T1,C4,T3,0,vivo
T1,C5,T1,0,vivo
T1,C5,T2,0,vivo
T1,C5,T3,0,vivo
T1,C6,T1,1,vivo
T1,C6,T2,1,vivo
T1,C6,T3,1,vivo
T1,C7,T1,0,vivo
T1,C7,T2,1,vivo
T1,C7,T3,1,vivo
T1,C8,T1,0,vivo
T1,C8,T2,0,vivo
T1,C8,T3,0,vivo
T2,C1,T1,0,vivo
T2,C1,T2,1,vivo
T2,C1,T3,1,vivo
T2,C2,T1,0,vivo
T2,C2,T2,0,vivo
T2,C2,T3,0,vivo
T1,C1,T1,0,vivo
T1,C1,T2,0,vivo
T1,C1,T3,0,vivo
T1,C2,T1,0,vivo
T1,C2,T2,0,vivo
T1,C2,T3,0,vivo
