"treat","Well","m.fit","sd.fit"
"anc"," G01",0.377224201733333,0.067311150357496
"anc"," G02",0.324841819466667,0.0637765070408218
"anc"," G03",0.333315946266667,0.0279999207138403
"anc"," G04",0.350852746233333,0.0113870425228827
"anc"," G05",0.400861155533333,0.0912533524159181
"anc"," G06",0.346102857933333,0.0534875252548805
"anc"," G07",0.3812414793,0.0565283786045023
"anc"," G08",0.3678497141,0.0526583191408619
"anc"," G09",0.391545251733333,0.00604766179598787
"anc"," G10",0.380405787766667,0.0603707586800362
"anc"," G11",0.378139127966667,0.0171751340310487
"anc"," G12",0.408507777366667,0.00269709709564545
"anc"," H01",0.362020456133333,0.108112613519221
"anc"," H02",0.284897402,0.0709107991932844
"anc"," H03",0.3255669561,0.0474925970781821
"anc"," H04",0.2904154516,0.150720514609341
"anc"," H05",0.331156519566667,0.140414245258815
"anc"," H06",0.344503689666667,0.140938328285646
"anc"," H07",0.360000578333333,0.0707596968950574
"anc"," H08",0.375805096,0.0613202113849544
"anc"," H09",0.3637931077,0.0553907614229312
"anc"," H10",0.4018934374,0.0147154884055402
"anc"," H11",0.360921323666667,0.0333727926453425
"anc"," H12",0.290512047866667,0.101821217253231
"TP1"," E01",0.241421113533333,0.0180994269645629
"TP1"," E02",0.261472960933333,0.0139676781732497
"TP1"," E03",0.380306419266667,0.0149662403630919
"TP1"," E04",0.2279730232,0.0276756373513296
"TP1"," E05",0.233230515533333,0.0615982482210371
"TP1"," E06",0.0430449789,0.0316621001114064
"TP1"," E07",0.370804724833333,0.0146796858778219
"TP1"," E08",0.233013093466667,0.0227293811291522
"TP2"," F01",0.2366316937,0.0394424548686777
"TP2"," F02",0.259125295866667,0.0117319509009813
